Company,Item,Calories,Fat,Carbs,Protein
McDonald’s,Hamburger,250,9,31,12
McDonald’s,Cheeseburger,300,12,33,15
McDonald’s,Double Cheeseburger,440,23,34,25
McDonald’s,McDouble,390,19,33,22
McDonald’s, Quarter Pounder® with Cheese,510,26,40,29
McDonald’s,Double Quarter Pounder® with Cheese,740,42,40,48
McDonald’s,Big Mac®,540,29,45,25
McDonald’s,Big N’ Tasty®,460,24,37,24
McDonald’s,Big N’ Tasty® with Cheese,510,28,38,27
McDonald’s,Angus Bacon & Cheese,790,39,63,45
McDonald’s,Angus Deluxe,750,39,61,40
McDonald’s,Angus Mushroom & Swiss,770,40,59,44
McDonald’s,Filet-O-Fish®,380,18,38,15
McDonald’s,McChicken ®,360,16,40,14
McDonald’s,McRib ®,500,26,44,22
McDonald’s,Premium Grilled Chicken Classic Sandwich,360,9,41,27
McDonald’s,Premium Crispy Chicken Classic Sandwich,510,22,56,24
McDonald’s,Premium Grilled Chicken Club Sandwich,460,17,43,35
McDonald’s,Premium Crispy Chicken Club Sandwich,620,29,57,31
McDonald’s,Premium Grilled Chicken Ranch BLT Sandwich,380,10,41,31
McDonald’s,Premium Crispy Chicken Ranch BLT Sandwich,540,23,56,27
McDonald’s,Southern Style Crispy Chicken Sandwich,400,17,39,24
McDonald’s,Ranch Snack Wrap® (Crispy),340,17,33,14
McDonald’s,Ranch Snack Wrap® (Grilled),270,10,26,18
McDonald’s,Honey Mustard Snack Wrap® (Crispy),330,16,34,14
McDonald’s,Honey Mustard Snack Wrap® (Grilled),260,9,27,18
McDonald’s,Chipotle BBQ Snack Wrap® (Crispy),330,15,35,14
McDonald’s,Chipotle BBQ Snack Wrap® (Grilled),260,9,28,18
McDonald’s,Angus Bacon & Cheese Snack Wrap,390,21,28,21
McDonald’s,Angus Chipotle BBQ Bacon,800,39,66,45
McDonald’s,Angus Chipotle BBQ Bacon Snack Wrap,400,22,30,21
McDonald’s,Angus Deluxe Snack Wrap,410,25,27,20
McDonald’s,Angus Mushroom & Swiss Snack Wrap,430,26,27,22
McDonald’s,Mac Snack Wrap,330,19,26,15
McDonald’s,Small French Fries,230,11,29,3
McDonald’s,Medium French Fries,380,19,48,4
McDonald’s,Large French Fries,500,25,63,6
McDonald’s,Ketchup Packet,15,0,3,0
McDonald’s,Salt Packet,0,0,0,0
McDonald’s,Chicken McNuggets® (4 piece),190,12,12,9
McDonald’s,Chicken McNuggets® (6 piece),280,18,18,13
McDonald’s,Chicken McNuggets® (10 piece),470,30,30,22
McDonald’s,Barbeque Sauce,50,0,12,0
McDonald’s,Honey,50,0,12,0
McDonald’s,Hot Mustard Sauce,60,2.5,9,1
McDonald’s,Sweet ‘N Sour Sauce,50,0,12,0
McDonald’s,Chicken Selects® Premium Breast Strips (3 pc),400,24,23,23
McDonald’s,Chicken Selects® Premium Breast Strips (5 pc),660,40,39,38
McDonald’s,Spicy Buffalo Sauce,60,6,1,0
McDonald’s,Creamy Ranch Sauce,170,18,2,0
McDonald’s,Tangy Honey Mustard Sauce,60,2,10,0
McDonald’s,Southwestern Chipotle Barbeque Sauce,60,0,15,0
McDonald’s,Premium Southwest Salad with Grilled Chicken,320,9,30,30
McDonald’s,Premium Southwest Salad with Crispy Chicken,430,20,38,26
McDonald’s,Premium Southwest Salad (without chicken),140,4.5,20,6
McDonald’s,Premium Bacon Ranch Salad with Grilled Chicken,260,9,12,33
McDonald’s,Premium Bacon Ranch Salad with Crispy Chicken,370,20,20,29
McDonald’s,Premium Bacon Ranch Salad (without chicken),140,7,10,9
McDonald’s,Premium Caesar Salad with Grilled Chicken,220,6,12,30
McDonald’s,Premium Caesar Salad with Crispy Chicken,330,17,20,26
McDonald’s,Premium Caesar Salad (without chicken),90,4,9,7
McDonald’s,Side Salad,20,0,4,1
McDonald’s,Butter Garlic Croutons,60,1.5,10,2
McDonald’s,Snack Size Fruit & Walnut Salad,210,8,31,4
McDonald’s,Salad Dressings,,,,
McDonald’s,Newman’s Own® Creamy Southwest Dressing,100,6,11,1
McDonald’s,Newman’s Own® Creamy Caesar Dressing,190,18,4,2
McDonald’s,Newman’s Own® Low Fat Balsamic Vinaigrette,40,3,4,0
McDonald’s,Newman’s Own® Low Fat Family Recipe Italian Dressing,60,2.5,8,1
McDonald’s,Newman’s Own® Ranch Dressing,170,15,9,1
McDonald’s,Egg McMuffin®,300,12,30,18
McDonald’s,Sausage McMuffin®,370,22,29,14
McDonald’s,Sausage McMuffin® with Egg,450,27,30,21
McDonald’s,English Muffin,160,3,27,5
McDonald’s,"Bacon, Egg & Cheese Biscuit (Regular Size Biscuit)",420,23,37,15
McDonald’s,"Bacon, Egg & Cheese Biscuit (Large Size Biscuit)",480,27,43,15
McDonald’s,Sausage Biscuit with Egg (Regular Size Biscuit),510,33,36,18
McDonald’s,Sausage Biscuit with Egg (Large Size Biscuit),570,37,42,18
McDonald’s,Sausage Biscuit (Regular Size Biscuit),430,27,34,11
McDonald’s,Sausage Biscuit (Large Size Biscuit),480,31,39,11
McDonald’s,Southern Style Chicken Biscuit (Regular Size Biscuit),410,20,41,17
McDonald’s,Southern Style Chicken Biscuit (Large Size Biscuit),470,24,46,17
McDonald’s,"Steak, Egg & Cheese Bagel",660,33,56,33
McDonald’s,"Bacon, Egg & Cheese McGriddles®",420,18,48,15
McDonald’s,"Sausage, Egg & Cheese McGriddles®",560,32,48,20
McDonald’s,Sausage McGriddles®,420,22,44,11
McDonald’s,Big Breakfast® (Regular Size Biscuit),740,48,51,28
McDonald’s,Big Breakfast® (Large Size Biscuit),800,52,56,28
McDonald’s,Big Breakfast with Hotcakes (Regular Size Biscuit),1090,56,111,36
McDonald’s,Big Breakfast with Hotcakes (Large Size Biscuit),1150,60,116,36
McDonald’s,Sausage Burrito,300,16,26,12
McDonald’s,McSkillet™ Burrito with Sausage,610,36,44,27
McDonald’s,Hotcakes,350,9,60,8
McDonald’s,Hotcakes and Sausage,520,24,61,15
McDonald’s,Hotcake Syrup,180,0,45,0
McDonald’s,Whipped Margarine (1 pat),40,4.5,0,0
McDonald’s,Hash Brown,150,9,15,1
McDonald’s,Grape Jam,35,0,9,0
McDonald’s,Strawberry Preserves,35,0,9,0
McDonald’s,"Bacon, Egg & Cheese Bagel",560,27,56,24
McDonald’s,Fruit & Maple Oatmeal,290,4.5,57,5
McDonald’s,Fruit & Maple Oatmeal without Brown Sugar,260,4.5,48,5
McDonald’s,Hamburger Happy Meal,475,16,62,22
McDonald’s,4 Piece Chicken McNuggets Happy Meal,395,17,41,19
McDonald’s,6 Piece Chicken McNuggets® Happy Meal,475,22,46,24
McDonald’s,Fruit ‘n Yogurt Parfait (7 oz),160,2,31,4
McDonald’s,Low Fat Caramel Dip,70,0.5,15,0
McDonald’s,Vanilla Reduced Fat Ice Cream Cone,150,3.5,24,4
McDonald’s,Kiddie Cone,45,1,8,1
McDonald’s,Strawberry Sundae,280,6,49,6
McDonald’s,Hot Caramel Sundae,340,8,60,7
McDonald’s,Hot Fudge Sundae,330,10,54,8
McDonald’s,Peanuts (for Sundaes),45,3.5,2,2
McDonald’s,McFlurry® with M&M’S® Candies (12 fl oz cup),710,25,105,15
McDonald’s,McFlurry® with OREO® Cookies (12 fl oz cup),580,19,89,13
McDonald’s,Baked Hot Apple Pie,250,13,32,2
McDonald’s,Cinnamon Melts,460,19,66,6
McDonald’s,McDonaldland® Cookies,260,8,43,4
McDonald’s,Chocolate Chip Cookie,160,8,21,2
McDonald’s,Oatmeal Raisin Cookie,150,6,22,2
McDonald’s,Sugar Cookie,160,7,21,2
McDonald’s,Apple Dippers with Low Fat Caramel Dip,100,0.5,23,0
McDonald’s,Chocolate McCafé® Shake (12 fl oz cup),580,17,94,11
McDonald’s,Chocolate McCafé® Shake (16 fl oz cup),720,20,119,15
McDonald’s,Chocolate McCafé® Shake (22 fl oz cup),880,24,147,18
McDonald’s,Chocolate Triple Thick® Shake (12 fl oz cup),440,10,76,10
McDonald’s,Chocolate Triple Thick® Shake (16 fl oz cup),580,14,102,13
McDonald’s,Chocolate Triple Thick® Shake (21 fl oz cup),770,18,134,18
McDonald’s,Chocolate Triple Thick® Shake (32 fl oz cup),1160,27,203,27
McDonald’s,Snack Size McFlurry® with M&M’S® Candies,430,16,64,9
McDonald’s,Snack Size McFlurry® with OREO® Cookies,340,12,53,8
McDonald’s,Strawberry McCafé® Shake (12 fl oz cup),570,17,92,11
