name,ingredients,diet,flavor_profile,course,region,total_calories,total_protein,total_fat,total_carbs
Balu shahi,"flour, yogurt, oil, sugar",vegetarian,sweet,dessert,East,18,1,2,2
Boondi,"flour, ghee, sugar",vegetarian,sweet,dessert,West,17,1,2,2
Gajar ka halwa,"carrots, milk, sugar, ghee, cashews, raisins",vegetarian,sweet,dessert,North,22,1,2,3
Ghevar,"flour, ghee, kewra, milk, butter, sugar, almonds, pistachio, saffron, cardamom",vegetarian,sweet,dessert,West,43,3,4,5
Gulab jamun,"milk powder, flour, baking powder, ghee, milk, sugar, water",vegetarian,sweet,dessert,East,23,1,2,2
Imarti,"sugar syrup, flour",vegetarian,sweet,dessert,East,5,1,1,1
Jalebi,"maida, flour, baking soda, vinegar, curd, water, turmeric, saffron, cardamom",vegetarian,sweet,dessert,North,11,1,1,2
Kaju katli,"cashews, ghee, cardamom, sugar",vegetarian,sweet,dessert,-1,25,1,3,3
Kalakand,"milk, cheese, sugar",vegetarian,sweet,dessert,East,6,1,1,2
Kheer,"milk, rice, sugar, almonds, pistachio",vegetarian,sweet,dessert,-1,20,1,2,3
Laddu,"flour, ghee, sugar",vegetarian,sweet,dessert,-1,17,1,2,2
Lassi,"yogurt, milk, nuts, sugar",vegetarian,sweet,dessert,North,12,1,1,2
Nankhatai,"flour, besan, ghee, sugar, yoghurt, green cardamom",vegetarian,sweet,dessert,-1,17,1,2,2
Petha,"pumpkin, sugar, lime, alum powder",vegetarian,sweet,dessert,North,9,1,1,2
Phirni,"rice, sugar, nuts",vegetarian,sweet,dessert,East,15,1,1,2
Rabri,"condensed milk, sugar, cardamom, nuts",vegetarian,sweet,dessert,North,19,1,2,3
Sheera,"semolina, ghee, nuts, milk",vegetarian,sweet,dessert,West,16,1,2,1
Singori,"khoa, coconut, molu leaf",vegetarian,sweet,dessert,North,6,1,1,1
Sohan halwa,"flour, ghee, cashews, almonds",vegetarian,sweet,dessert,North,25,1,3,1
Sohan papdi,"flour, ghee, sugar, milk, cardamom",vegetarian,sweet,dessert,West,24,1,2,4
Chhena jalebi,"cheese, sugar, ghee",vegetarian,sweet,dessert,East,14,1,2,2
Chhena kheeri,"cheese, sugar, milk",vegetarian,sweet,dessert,East,6,1,1,2
Chhena poda,"sugar, cheese",vegetarian,sweet,dessert,East,6,1,1,2
Cham cham,"flour, cream, sugar, saffron, lemon juice, coconut",vegetarian,sweet,dessert,East,16,1,1,2
Kheer sagar,"cheese, condensed milk, sugar, saffron, cardamom",vegetarian,sweet,dessert,East,13,1,1,3
Ledikeni,"cheese, sugar, ghee",vegetarian,sweet,dessert,East,14,1,2,2
Lyangcha,"flour, milk powder, sugar syrup",vegetarian,sweet,dessert,North East,10,1,1,1
Malapua,"yogurt, flour, ghee, fennel seeds",vegetarian,sweet,dessert,North,14,1,2,1
Mihidana,"flour, sugar, ghee",vegetarian,sweet,dessert,East,17,1,2,2
Misti doi,"milk, jaggery",vegetarian,sweet,dessert,East,1,1,1,1
Pantua,"cheese, sugar, ghee, flour",vegetarian,sweet,dessert,East,18,1,2,2
Pithe,flour,vegetarian,sweet,dessert,North East,5,1,1,1
Rasabali,"cheese, sweetened milk",vegetarian,sweet,dessert,East,2,1,1,1
Ras malai,"cheese, milk, pistachio",vegetarian,sweet,dessert,East,8,1,1,1
Rasgulla,"cheese, sugar, cardamom",vegetarian,sweet,dessert,East,12,1,1,3
Sandesh,"milk, sugar, saffron, cardamom",vegetarian,sweet,dessert,East,11,1,1,3
Adhirasam,"flour, jaggery, ghee, oil, elachi",vegetarian,sweet,dessert,East,22,1,3,1
Ariselu,"flour, jaggery, ghee",vegetarian,sweet,dessert,South,13,1,2,1
Bandar laddu,"besan, jaggery, cardamom , ghee, cashews ,raisins, syrup, sugar",vegetarian,sweet,dessert,South,31,1,3,5
Chikki,"peanuts, jaggery",vegetarian,sweet,dessert,West,6,1,1,1
Dharwad pedha,"milk, sugar, milk",vegetarian,sweet,dessert,South,5,1,1,2
Double ka meetha,"bread, milk",vegetarian,sweet,dessert,South,3,1,1,1
Gavvalu,"flour, sugar, salt, ghee, semolina",vegetarian,sweet,dessert,South,17,1,2,2
Kakinada khaja,"flour, sugar",vegetarian,sweet,dessert,South,9,1,1,2
Kuzhi paniyaram,"black lentils, rice",vegetarian,sweet,dessert,South,4,1,1,1
Mysore pak,"flour, semolina, mung bean, jaggery, coconut, milk powder, sugar, ghee",vegetarian,sweet,dessert,South,28,1,2,3
Obbattu holige,"flour, turmeric, coconut, chickpeas, jaggery, ghee, cardamom",vegetarian,sweet,main course,South,25,1,3,3
Palathalikalu,"flour, milk",vegetarian,sweet,dessert,South,5,1,1,1
Pongal,"rice, jaggery, cashews, ghee",vegetarian,sweet,dessert,South,18,1,2,2
Pootharekulu,"flour, sugar, ghee",vegetarian,sweet,dessert,South,17,1,2,2
Qubani ka meetha,"apricots, syrup",vegetarian,sweet,dessert,South,5,1,1,2
Sheer korma,"pudding, milk",vegetarian,sweet,dessert,South,3,1,1,1
Unni Appam,"flour, banana, jaggery, coconut",vegetarian,sweet,dessert,South,11,1,1,1
Kajjikaya,"flour, jaggery, coconut",vegetarian,sweet,dessert,South,10,1,1,1
Anarsa,"flour, jaggery, khus-khus seeds",vegetarian,sweet,dessert,West,5,1,1,1
Basundi,"sugar, milk, nuts",vegetarian,sweet,dessert,West,12,1,1,2
Dhondas,"cucumber, rava",vegetarian,sweet,dessert,West,0,0,0,0
Doodhpak,"milk, rice, sugar, almonds,cashews",vegetarian,sweet,dessert,West,20,1,2,3
Mahim halwa,"semolina, sugar",vegetarian,sweet,dessert,West,5,0,0,1
Modak,"flour, coconut, jaggery",vegetarian,sweet,dessert,West,10,1,1,1
Shankarpali,"sugar, ghee, flour, semolina",vegetarian,sweet,dessert,West,17,1,2,2
Shrikhand,"curd, sugar, saffron, cardamom",vegetarian,sweet,dessert,West,11,1,1,3
Sutar feni,"maida, sugar, ghee",vegetarian,sweet,dessert,West,13,0,1,1
Maach Jhol,"fish, potol, tomato, chillies, ginger, garlic",non vegetarian,spicy,main course,North East,16,1,1,3
Pork Bharta,"pork, onions, chillies, ginger , garlic",non vegetarian,spicy,main course,North East,22,1,2,3
Chak Hao Kheer,"rice, milk, sugar, cardamom",vegetarian,sweet,dessert,North East,15,1,1,4
Galho,"rice, axone, salt, water, chillies, pork",non vegetarian,spicy,main course,North East,18,1,2,3
Aloo gobi,"cauliflower, potato, garam masala, turmeric, curry leaves",vegetarian,spicy,main course,North,7,1,1,2
Aloo tikki,"flour, potato, bread , garam masala, salt",vegetarian,spicy,main course,North,12,1,1,2
Aloo matar,"potato, peas, chillies, ginger, garam masala, garlic",vegetarian,spicy,main course,North,19,2,1,4
Aloo methi,"potato, fenugreek leaves, chillies, salt, oil",vegetarian,bitter,main course,North,15,1,2,2
Aloo shimla mirch,"potato, shimla mirch, garam masala, amchur powder, salt",vegetarian,spicy,main course,North,5,1,1,1
Bhatura,"chole, rava, yogurt, flour, baking soda",vegetarian,spicy,main course,North,5,1,1,1
Bhindi masala,"ladies finger, garam masala, kasuri methi, tomatoes, chillies",vegetarian,spicy,main course,North,12,1,1,3
Biryani,"chicken , rice, star anise, sweet, chillies",non vegetarian,spicy,main course,South,13,1,1,3
Butter chicken,"chicken, yogurt, cream, garam masala, cashews ,nuts, butter",non vegetarian,spicy,main course,North,30,3,3,3
Chana masala,"chicken, tomato, garam masala, ginger, onions, oil",vegetarian,spicy,main course,North,21,1,2,2
Chapati,"flour, oil, water",vegetarian,-1,main course,West,14,1,2,1
Chicken razala,"chicken, dahi, sesame seeds, garam masala , cashews ,nuts, saffron",non vegetarian,spicy,main course,East,26,2,3,2
Chicken Tikka masala,"bread, tomato ,  chicken, heavy cream, garam masala",non vegetarian,spicy,main course,North,11,1,1,2
Chicken Tikka,"chicken, bread, flour, garam masala ,  eggs",non vegetarian,spicy,starter,North,17,2,1,3
Chole bhature,"chole, bhatura, garam masala, cardamom, cinnamon",vegetarian,spicy,main course,North,11,1,1,3
Daal baati churma,"moong dal, masoor dal, chana dal,flour, almond",vegetarian,spicy,main course,West,9,1,1,1
Daal puri,"moong dal, garam masala , garlic, chillies,flour",vegetarian,spicy,main course,East,20,2,1,4
Dal makhani ,"beans, urad dal, cream, garam masala, chillies",vegetarian,sweet,main course,North,13,1,1,3
Dal tadka,"pigeon peas, garam masala, ginger, onions, kasuri methi",vegetarian,spicy,main course,North,9,1,1,2
Dum aloo,"potatoes, garam masala, cashews, nuts, kasuri methi, tomatoes",vegetarian,spicy,main course,North,18,1,2,2
Poha,"rice , potato, curry leaves, chillies, lemon juice",vegetarian,spicy,snack,West,11,1,1,3
Fara,"flour, arhar dal, white urad dal, garam masala",vegetarian,spicy,snack,Central,10,1,1,2
Kachori,"moong dal, rava, garam masala, dough, fennel seeds",vegetarian,spicy,snack,North,5,1,1,1
Kadai paneer,"cheese, chillies, gravy, garam masala, cashews, nuts",vegetarian,spicy,main course,North,25,2,2,3
Kadhi pakoda,"besan, garam masala , flour, ginger, curry leaves",vegetarian,spicy,main course,North,14,1,1,3
Karela bharta,"bitter gourd, fennel, garam masala , chillies, amchur powder",vegetarian,bitter,main course,North,11,1,1,3
Khichdi,"moong dal, peas, ginger, tomato, chillies",vegetarian,spicy,main course,-1,11,1,1,3
Kofta,"paneer, potato, cream, flour, garam masala",vegetarian,spicy,main course,North,11,1,1,2
Kulfi falooda,"syrup, falooda sev, almonds, cashews,nuts, saffron, sugar",vegetarian,sweet,dessert,-1,26,1,2,3
Lauki ke kofte,"bottle gourd, garam masala, flour, ginger, chillies",vegetarian,spicy,main course,North,19,2,1,4
Lauki ki subji,"bottle gourd, coconut ,oil, garam masala, ginger, chillies",vegetarian,spicy,main course,-1,29,1,3,4
Litti chokha,"flour, tomato, nigella seeds, chillies",vegetarian,spicy,main course,North,11,1,1,2
Makki di roti sarson da saag,"palak, makki atta, mustard green, garam masala, ginger",vegetarian,spicy,main course,North,9,1,1,2
Misi roti,"flour, chillies",vegetarian,spicy,main course,North,11,1,1,2
Mushroom do pyaza,"mushroom, malai, garam masala, ginger, capsicum",vegetarian,spicy,main course,North,9,1,1,2
Mushroom matar,"coconut, milk,  peas, mushrooms, garam masala, tomatoes",vegetarian,spicy,main course,North,12,1,1,2
